NBRHOOD,LANDVAL,IMPROVAL,SALEPRIC,SALTOAPR
D,28416,86777,110500,0.96
D,31450,97357,171500,1.33
D,29896,90721,140000,1.16
D,27592,60747,99000,1.12
D,55932,40924,243800,1.24
D,35501,7068,177800,1.25
D,30192,66919,239900,1.22
D,39397,53645,216500,1.12
D,30153,75980,120000,1.13
D,24887,65681,91000,1.00
D,25097,89630,118000,1.03
D,21321,92020,125500,1.11
D,21883,76287,114900,1.17
D,14550,53431,79900,1.18
D,22176,58656,80000,0.99
D,21483,53489,63000,0.84
D,21455,62617,95000,1.13
D,20984,59435,74500,0.93
D,21380,59714,89500,1.10
D,20560,53907,74900,1.01
D,20268,60455,81000,1.00
D,24918,58981,76100,0.91
D,20375,54221,85000,1.14
D,29896,62297,109000,1.18
D,42636,75215,115000,0.98
D,35788,86089,142000,1.17
D,34644,31430,189900,1.14
D,28861,73059,107900,1.06
D,29896,77303,125000,1.17
D,24276,74913,115500,1.16
D,22877,84293,128000,1.19
D,22725,26422,165000,1.11
D,23361,93968,124600,1.06
D,11303,47262,59000,1.01
D,11283,40767,63500,1.22
D,11967,38882,60000,1.18
D,11220,32955,60500,1.37
D,13980,36494,46909,0.93
D,11893,39085,62900,1.23
D,11730,32393,56900,1.29
D,13207,32655,55000,1.20
D,17735,36494,59000,1.09
D,19719,87151,117700,1.10
D,20571,64956,84000,0.98
D,17533,82195,102500,1.03
D,16560,75399,99900,1.09
D,18584,79027,120000,1.23
D,21883,74377,118500,1.23
D,20045,68444,105000,1.19
D,17443,61207,85000,1.08
D,17002,85444,110500,1.08
D,17002,55224,80400,1.11
D,15456,73764,107500,1.20
D,17917,82034,108000,1.08
D,15456,67726,92182,1.11
D,16560,53889,83900,1.19
D,20628,79916,95000,0.94
D,16100,94973,114500,1.03
D,17710,87051,108000,1.03
D,17250,84268,124600,1.23
D,33324,99167,132536,1.00
D,30030,89146,137000,1.15
D,37145,11152,170000,1.15
D,11753,29714,51900,1.25
D,12100,45415,59000,1.03
D,12100,38266,60200,1.20
D,21948,71851,103300,1.10
D,29030,89021,127000,1.08
D,26972,72474,87400,0.88
D,26885,77655,100000,0.96
D,34927,78537,111500,0.98
D,30866,63395,105000,1.11
D,22694,91417,124000,1.09
D,26523,58900,82500,0.97
D,30492,87704,135000,1.14
D,30492,67596,103000,1.05
D,30492,91651,130500,1.07
D,30029,95149,138000,1.10
D,29876,77456,111900,1.04
D,27713,91220,120000,1.01
D,67573,33916,144000,1.42
D,43125,59066,60000,0.59
D,15401,49539,69900,1.08
D,11270,46895,47100,0.81
D,11270,48195,59200,1.00
D,11270,43842,49600,0.90
D,12529,33099,40000,0.88
D,15474,48195,72900,1.14
D,11431,44682,63900,1.14
D,13937,43842,56031,0.97
D,11270,44710,45000,0.80
D,11270,46895,52900,0.91
D,11270,33099,49900,1.12
D,12075,49973,53000,0.85
D,27770,95662,118000,0.96
D,16000,47963,68300,1.07
D,14490,57805,85000,1.18
D,16682,49215,79000,1.20
D,14490,62867,88500,1.14
D,13748,69400,90000,1.08
D,16316,64056,87000,1.08
D,17421,56099,84900,1.15
D,12163,67915,93500,1.17
D,12938,57642,86000,1.22
D,14490,55990,90000,1.28
D,14490,58664,42000,0.57
D,16000,63782,91800,1.15
D,16223,56367,77900,1.07
D,16000,70912,85900,0.99
D,9266,42289,72800,1.41
D,14663,43811,71000,1.21
D,14720,57659,81000,1.12
D,19530,46424,74000,1.12
D,12950,52390,78000,1.19
D,12901,53177,74900,1.13
D,14209,51172,67200,1.03
D,15650,53468,76500,1.11
D,17010,53177,70000,1.00
D,15869,53644,65600,0.94
D,14501,53177,78500,1.16
D,12768,53012,78200,1.19
D,15936,63499,77500,0.98
D,15996,44475,71400,1.18
D,14410,52487,81000,1.21
D,14410,55835,85000,1.21
D,12768,43608,70800,1.26
D,12768,43221,71500,1.28
D,14468,50555,78000,1.20
D,12768,47682,76100,1.26
D,12768,53591,77300,1.16
D,15960,66670,89900,1.09
D,13844,45239,57000,0.96
D,12502,79318,94500,1.03
D,15645,59082,90200,1.21
D,15645,51749,73800,1.10
D,14521,55719,83000,1.18
D,16074,58587,85000,1.14
D,17466,58932,84900,1.11
D,15569,54704,79900,1.14
D,15552,62394,92500,1.19
D,13680,61288,89900,1.20
D,14000,46785,71600,1.18
D,17486,53926,64000,0.90
D,16450,52696,84000,1.21
D,16450,45053,60000,0.98
D,13440,43798,76900,1.34
D,15936,54513,85000,1.21
D,16800,43964,61500,1.01
D,13605,43964,65000,1.13
D,17009,53563,73500,1.04
D,13617,44673,63500,1.09
D,16450,47515,69200,1.08
D,13632,44348,66000,1.14
D,16800,48139,70600,1.09
D,16450,47547,64500,1.01
D,14112,54003,77100,1.13
D,15790,57694,77900,1.06
D,18686,58638,77000,1.00
D,14259,62827,79000,1.02
D,16781,61218,83000,1.06
D,18382,59459,96000,1.23
D,17640,62226,86500,1.08
D,17351,64169,92000,1.13
D,14823,54597,74000,1.07
D,14717,54567,74500,1.08
D,14717,54686,76500,1.10
D,14112,58667,86900,1.19
D,17640,45369,73400,1.16
D,14112,52188,76500,1.15
D,19404,67010,84700,0.98
D,14112,53759,73900,1.09
D,14112,49104,70000,1.11
D,15456,51791,74900,1.11
D,14112,61669,88300,1.17
D,15415,50149,79500,1.21
D,15415,57546,85900,1.18
D,16000,76687,45000,0.49
D,15750,57546,80700,1.10
D,15750,55075,75000,1.06
D,14490,50513,94500,1.45
D,16608,60288,85000,1.11
D,14938,49559,71900,1.11
D,15510,40368,66500,1.19
D,18139,43915,55000,0.89
D,15246,48078,72900,1.15
D,18955,63906,90000,1.09
D,14938,54302,86500,1.25
D,14168,51564,74900,1.14
D,14476,56933,85000,1.19
D,17268,44288,72000,1.17
D,12938,51411,12000,0.19
D,6728,55970,59000,0.94
D,8625,12312,10000,0.48
D,14386,46913,68900,1.12
D,12173,46913,72000,1.22
D,13912,63459,86000,1.11
D,23430,54221,84000,1.08
D,22440,64159,91500,1.06
D,20570,59674,85300,1.06
D,14976,53794,78000,1.13
D,15360,63940,89900,1.13
D,15246,72440,92500,1.05
D,15168,58353,68700,0.93
D,13248,56156,89000,1.28
D,12480,46807,69000,1.16
D,14400,53262,74000,1.09
D,15168,57733,72000,0.99
D,12288,48219,71000,1.17
D,13248,58546,80600,1.12
D,14016,52794,73000,1.09
D,13152,75566,90000,1.01
D,14592,52794,82000,1.22
D,15360,65429,85000,1.05
D,16762,51866,50000,0.73
D,19254,68353,104000,1.19
D,16369,47957,75000,1.17
D,19097,53755,78000,1.07
D,16369,48650,6000,0.09
D,16200,59389,76118,1.01
D,15984,58633,78000,1.05
D,15120,60801,79500,1.05
D,15120,55212,83000,1.18
D,17977,50076,73000,1.07
D,15120,52677,73000,1.08
D,19958,61905,71500,0.87
D,17595,77935,114000,1.19
D,19035,80335,117000,1.18
D,16200,70564,90000,1.04
D,16200,78675,86800,0.91
D,15278,55980,100000,1.40
D,15278,69435,87000,1.03
D,15120,67593,85000,1.03
D,16416,70099,88500,1.02
D,16416,62079,26700,0.34
D,20250,60866,86500,1.07
D,15228,74242,15000,0.17
D,15593,53543,79900,1.16
D,18354,61497,87000,1.09
D,15120,72255,97000,1.11
D,21011,66839,101000,1.15
D,17784,68799,94000,1.09
D,15310,84172,109900,1.10
D,15120,67562,80700,0.98
D,15278,57697,77000,1.06
D,15120,64863,77500,0.97
D,16200,58850,78000,1.04
D,15379,58904,87700,1.18
D,15379,51995,78000,1.16
D,17916,83073,99500,0.99
D,15660,50634,58000,0.87
D,15163,65149,83000,1.03
D,15120,55022,74300,1.06
D,15120,62867,93000,1.19
D,15120,55942,74000,1.04
D,21450,67138,96000,1.08
D,15120,60377,87800,1.16
D,15120,52476,77500,1.15
D,14333,48578,72500,1.15
D,15120,54254,72900,1.05
D,19850,68138,95500,1.09
D,15120,63697,85000,1.08
D,15120,56434,77000,1.08
